property_id,id,displayPrice,deedDate,newBuild,tenure,percentageChange
1453621|16|,20808913LR,"£540,000",2/28/2024,FALSE,Freehold,
1288910||46,21462016ROS,"£160,000",3/2/2023,FALSE,,-17
1288910||46,20196064ROS,"£193,000",7/5/2017,FALSE,,
34264|18|,25546935LR,"£200,000",12/10/2015,FALSE,Leasehold,
"1138715|CHEPSTOW HOUSE, 16 - 20|FLAT 20",14680321LR,"£280,000",7/9/2021,FALSE,Leasehold,47
"1138715|CHEPSTOW HOUSE, 16 - 20|FLAT 20",54378285LR,"£190,000",10/23/2015,FALSE,Leasehold,41
"1138715|CHEPSTOW HOUSE, 16 - 20|FLAT 20",54378087LR,"£135,000",6/28/2001,FALSE,Leasehold,73
"1138715|CHEPSTOW HOUSE, 16 - 20|FLAT 20",54378006LR,"£78,000",3/18/1997,FALSE,Leasehold,
4708224|15|APARTMENT 23,90387963LR,"£109,995",11/11/2019,TRUE,Leasehold,
268872|40|,17361502LR,"£310,500",9/12/2022,FALSE,Leasehold,170
268872|40|,41523804LR,"£115,000",7/26/2002,FALSE,Leasehold,
915188|25|APARTMENT 203,21555028LR,"£2,600,000",6/7/2022,TRUE,Leasehold,
4326883|6|APARTMENT 1.11,94160445LR,"£8,750,000",4/3/2023,TRUE,Leasehold,
544748|6|,19926037LR,"£1,830,000",10/27/2023,FALSE,Freehold,88
544748|6|,57051999LR,"£975,000",11/22/2013,FALSE,Freehold,
1552726|CLARENCE GATE GARDENS|FLAT 176,93370587LR,"£1,540,000",3/18/2022,FALSE,Leasehold,
"4377166|ERRINGTON HOUSE, 4|FLAT 48",21782095LR,"£933,625",7/26/2023,TRUE,Leasehold,
"4769637|PETERBOROUGH HOUSE, 1|FLAT 25",14843776LR,"£1,830,000",11/27/2020,TRUE,Leasehold,
278204|68|,19197484LR,"£1,365,000",3/11/2022,FALSE,Freehold,
707456|50|,21494383LR,"£328,750",4/5/2023,FALSE,Freehold,370
707456|50|,68808411LR,"£70,000",6/20/1997,FALSE,Freehold,
4848717|LIONGATE HOUSE|FLAT 3,17378182LR,"£260,000",9/8/2022,TRUE,Leasehold,
1005000|230|,19361287LR,"£525,000",11/21/2023,FALSE,Freehold,166
1005000|230|,28977630LR,"£197,000",4/30/2003,FALSE,Freehold,31
1005000|230|,28977618LR,"£149,950",12/15/2000,FALSE,Freehold,
865307|66|,13050742LR,"£562,500",9/3/2020,FALSE,Freehold,
865222|2|,91698885LR,"£1,250,000",9/4/2020,FALSE,Freehold,63
865222|2|,80421567LR,"£765,000",2/21/2013,FALSE,Freehold,337
865222|2|,80421408LR,"£175,000",12/14/1995,FALSE,Freehold,
1251969|59|,91698930LR,"£257,500",9/4/2020,FALSE,Freehold,268
1251969|59|,80436603LR,"£70,000",4/30/1999,FALSE,Freehold,
1660772|5|FLAT 1,91698873LR,"£292,500",9/10/2020,FALSE,Leasehold,17
1660772|5|FLAT 1,80416857LR,"£250,000",9/25/2015,FALSE,Leasehold,
865216|7B|,91698879LR,"£465,000",9/11/2020,FALSE,Leasehold,79
865216|7B|,80420697LR,"£260,000",10/9/2009,FALSE,Leasehold,13
865216|7B|,80420649LR,"£230,500",6/9/2003,FALSE,Leasehold,29
865216|7B|,80420634LR,"£179,000",1/25/2002,FALSE,Leasehold,74
865216|7B|,80420586LR,"£103,000",5/28/1998,FALSE,Leasehold,
"1804255|TIMES SQUARE, 2|FLAT 11",11718529LR,"£245,000",9/11/2020,FALSE,Leasehold,
865221|36|,91698882LR,"£935,000",9/11/2020,FALSE,Freehold,8
865221|36|,80421393LR,"£865,000",6/8/2015,FALSE,Freehold,78
865221|36|,80421378LR,"£485,000",12/15/2005,FALSE,Freehold,162
865221|36|,80421363LR,"£185,000",9/25/1998,FALSE,Freehold,
865229|5|UPPER BLUNDESTON,17228698LR,"£370,000",9/11/2020,FALSE,Leasehold,
865271|3|,11718547LR,"£680,000",9/16/2020,FALSE,Freehold,144
865271|3|,80425008LR,"£279,212",12/19/2006,FALSE,Freehold,16
865271|3|,80424972LR,"£241,000",3/25/1999,FALSE,Freehold,
1610314|3|FLAT 2,91698897LR,"£231,000",9/16/2020,FALSE,Leasehold,36
1610314|3|FLAT 2,90742674LR,"£170,000",1/6/2020,FALSE,Leasehold,162
1610314|3|FLAT 2,80422674LR,"£64,950",9/28/1998,FALSE,Leasehold,
865268|8|,91944900LR,"£770,000",9/17/2020,FALSE,Freehold,14
865268|8|,80424870LR,"£675,000",5/6/2016,FALSE,Freehold,78
865268|8|,80424855LR,"£380,000",9/5/2013,FALSE,Freehold,23
865268|8|,80424831LR,"£310,000",5/22/2009,FALSE,Freehold,
865253|4|,91698903LR,"£875,000",9/18/2020,FALSE,Freehold,94
865253|4|,80423805LR,"£450,000",2/17/2010,FALSE,Freehold,25
865253|4|,80423790LR,"£360,000",2/27/2006,FALSE,Freehold,
1251946|89|,11718556LR,"£915,000",9/22/2020,FALSE,Freehold,5
1251946|89|,88308834LR,"£870,000",7/5/2016,FALSE,Freehold,74
1251946|89|,80426472LR,"£499,950",10/16/2009,FALSE,Freehold,
1397873|7|,11718541LR,"£735,000",9/25/2020,FALSE,Freehold,67
1397873|7|,80424297LR,"£440,000",4/30/2004,FALSE,Freehold,47
1397873|7|,80424276LR,"£300,000",12/13/2000,FALSE,Freehold,
1251946|111|,91698909LR,"£980,000",9/25/2020,FALSE,Freehold,
865362|24|,92231202LR,"£1,725,000",9/25/2020,FALSE,Freehold,37
865362|24|,80437518LR,"£1,260,000",7/15/2010,FALSE,Freehold,404
865362|24|,80437485LR,"£250,000",9/17/1996,FALSE,Freehold,
1251924|8|,91944891LR,"£860,000",9/28/2020,FALSE,Freehold,126
1251924|8|,80423532LR,"£380,000",1/15/2002,FALSE,Freehold,46
1251924|8|,80423523LR,"£260,000",4/30/2001,FALSE,Freehold,
1251940|54|,11718550LR,"£340,000",9/28/2020,FALSE,Freehold,580
1251940|54|,80425206LR,"£50,000",10/13/2000,FALSE,Freehold,
865223|3|,91698888LR,"£661,000",9/28/2020,FALSE,Freehold,11
865223|3|,55085192LR,"£594,000",9/15/2017,FALSE,Freehold,35
865223|3|,80421756LR,"£440,000",8/23/2013,FALSE,Freehold,
"865303|SANDSTONE QUARRY, 3|APARTMENT 5",12498730LR,"£450,000",9/29/2020,TRUE,Leasehold,
1251959|42|,91944921LR,"£270,000",9/29/2020,FALSE,Freehold,4
1251959|42|,7032148LR,"£260,000",4/18/2018,FALSE,Freehold,71
1251959|42|,80430966LR,"£152,000",2/10/2006,FALSE,Freehold,6
1251959|42|,80430957LR,"£143,000",2/12/2004,FALSE,Freehold,
865168|VALE HOUSE|16,19114561LR,"£270,000",9/30/2020,TRUE,Leasehold,
865271|9D|,17228710LR,"£490,000",9/30/2020,TRUE,Freehold,
"4696017|LANSDOWNE VILLA, 23|APARTMENT 3",14820427LR,"£270,000",9/30/2020,TRUE,Leasehold,
865168|VALE HOUSE|9,14472406LR,"£270,000",9/30/2020,TRUE,Leasehold,
"76475|PARK MANSIONS, 18 - 20|FLAT 11",20073352LR,"£245,000",11/21/2023,FALSE,Leasehold,
1428659|MANDALAY COURT|FLAT 77,20323753LR,"£245,000",11/22/2023,FALSE,Leasehold,67
